,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
70286,HD133112,225.686515,-3.031795,2458198.7340297,518.04869,9.716352,-28099.560455,3.45146,96.633714,9.637751,-28098.20021,3.178218,96.633714,9.637751,967.241443,1018.35404,52.875644,4.268077,0.569744,0.00041,0.854269,0.000631,0.959768,0.000731,0,49.698646,0.109961,-58.760302,-22,264.9,2458198.73403,20.694011,20.694184,0,-9999999,0.0,-3.545004,1.23339,1.360245,1.345923,0.52,600,749.041908,87.185964,2018-03-21T05:26:02.301,-9999999,G2,0100.C-0847(A),Hellier,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,0.000112400422805,3.46210593945561e-05,1,1
70287,HD133112,225.686515,-3.031795,2458198.7411292,304.724513,6.226576,-28263.739234,3.422487,-116.677424,6.103195,-28262.378778,3.146729,-116.677424,6.103195,412.183651,1089.75568,48.630678,4.54137,0.570054,0.000405,0.855214,0.000624,0.958354,0.000722,0,32.36265,0.054472,31.208784,-22,268.1,2458198.74112,20.676358,20.676532,0,-9999999,0.0,-3.531965,1.233392,1.360456,1.345925,0.49,600,-1177.98608,246.449405,2018-03-21T05:36:33.656,-9999999,G2,0100.C-0847(A),Hellier,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,9.34919144842597e-05,3.65387716490633e-05,1,1
70288,HD133112,225.686515,-3.031795,2458198.9152722,324.282505,7.177254,-30080.936465,3.010376,-96.799594,7.070456,-30079.570839,2.692645,-96.799594,7.070456,2590.095884,1185.925855,53.710223,3.945793,0.570717,0.000339,0.849461,0.000529,0.952794,0.00062,0,50.774855,0.105329,22.377438,-22,310.8,2458198.91527,20.189743,20.189913,0,-9999999,4e-06,-3.212127,1.233545,1.365622,1.346116,0.48,600,-69.870225,172.763202,2018-03-21T09:47:24.593,-9999999,G2,0100.C-0847(A),Hellier,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,9.39126436776273e-05,3.74066597269693e-05,1,1
70289,HD133112,225.686515,-3.031795,2458198.9227854,303.293597,7.322057,-29250.266509,2.985193,-117.774703,7.2174,-29248.90066,2.664454,-117.774703,7.2174,1454.881257,843.954311,63.601714,2.889268,0.5702,0.00034,0.866683,0.000545,0.953973,0.000617,0,49.199077,0.111216,15.166779,-22,308.4,2458198.92278,20.170644,20.170811,0,-9999999,4e-06,-3.198328,1.233556,1.365845,1.34613,0.51,600,745.123527,238.693368,2018-03-21T09:57:55.688,-9999999,G2,0100.C-0847(A),Hellier,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,0.00010473431037,3.66163379923196e-05,1,1
70290,HD133112,225.686515,-3.031795,2458199.7307663,227.858641,7.041766,-28003.365279,3.888418,-193.617139,6.932908,-28002.005111,3.648053,-193.617139,6.932908,1217.847562,850.001705,50.828626,4.369647,0.570715,0.000478,0.862817,0.000746,0.966679,0.000862,0,44.236236,0.077286,0.0,-22,225.5,2458199.73076,20.328626,20.328801,0,-9999999,1.9e-05,-3.605809,1.233389,1.360149,1.345922,0.5,600,-209.498316,192.741812,2018-03-22T05:21:26.525,-9999999,G2,0100.C-0847(A),Hellier,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,9.64979492851955e-05,4.08074141512846e-05,1,1
70291,HD133112,225.686515,-3.031795,2458199.7382803,241.953648,8.264288,-27555.307713,3.579128,-179.508332,8.171732,-27553.947322,3.31642,-179.508332,8.171732,1538.093417,849.991002,61.270445,4.942099,0.57104,0.000422,0.864454,0.000661,0.949075,0.000748,0,20.394425,0.02898,0.0,-22,254.5,2458199.73827,20.309926,20.3101,0,-9999999,1.9e-05,-3.592008,1.233391,1.360372,1.345924,0.53,600,931.849956,-9999999.0,2018-03-22T05:31:57.688,-9999999,G2,0100.C-0847(A),Hellier,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,0.000114199753816,3.68997805237594e-05,1,1
70292,HD133112,225.686515,-3.031795,2458201.7416756,246.975038,6.899852,-25259.734655,3.730666,-174.679119,6.788719,-25258.147435,3.479419,-174.679119,6.788719,1009.485459,941.675463,57.706529,4.861284,0.570544,0.00045,0.863457,0.0007,0.949389,0.000793,0,16.451442,0.023577,16.387197,-22,240.5,2458201.74167,19.537467,19.53765,0,-9999999,5.8e-05,-3.784186,1.233392,1.587162,1.345925,0.5,600,-475.211628,157.841513,2018-03-24T05:36:57.659,-9999999,G2,0100.C-0847(A),Hellier,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,9.67818305193452e-05,3.77627914734338e-05,1,1
70293,HD133112,225.686515,-3.031795,2458201.7490505,227.787977,6.357698,-26698.79426,3.596469,-193.852635,6.236911,-26697.206822,3.335126,-193.852635,6.236911,429.682313,566.178407,51.365686,4.441857,0.57153,0.000429,0.864808,0.000666,0.967018,0.00077,0,266.074669,2.783345,0.0,-22,253.3,2458201.74904,19.518044,19.518224,0,-9999999,5.8e-05,-3.770641,1.233394,1.58738,1.345928,0.51,600,-416.522064,139.955532,2018-03-24T05:47:28.813,-9999999,G2,0100.C-0847(A),Hellier,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,9.34320769300943e-05,4.37965725197314e-05,1,1
70294,HD133112,225.686515,-3.031795,2458202.7207761,223.336076,8.642045,-26874.90756,3.852484,-198.577752,8.553578,-26873.492997,3.609728,-198.577752,8.553578,640.944295,571.724867,57.862073,4.60368,0.572143,0.000475,0.872695,0.000748,0.959145,0.000847,0,6.381512,0.039446,13.877583,-22,227.2,2458202.72077,19.201041,19.201242,0,-9999999,7.7e-05,-4.043857,1.233388,1.414486,1.34592,0.51,600,-33.451406,198.345044,2018-03-25T05:06:40.542,-9999999,G2,0100.C-0847(A),Hellier,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,9.73293006247803e-05,3.90005714502528e-05,1,1
70295,HD133112,225.686515,-3.031795,2458202.7280829,193.330258,7.837019,-22491.318481,3.702675,-228.570151,7.739355,-22489.903701,3.449391,-228.570151,7.739355,1104.511051,750.974635,55.184558,4.695816,0.571449,0.000447,0.873493,0.000705,0.958302,0.000797,0,1.243567,0.042883,226.386419,-22,241.1,2458202.72807,19.182885,19.183087,0,-9999999,7.7e-05,-4.030437,1.233389,1.414703,1.345921,0.51,600,-5.642546,-9999999.0,2018-03-25T05:17:11.806,-9999999,G2,0100.C-0847(A),Hellier,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_objAB,STAR_SKY_G,0.000101823377705,3.51632362131354e-05,1,1
